Date,Open,High,Low,Close,Adj Close,Volume
2008-01-07,100.250000,101.000000,97.040001,97.669998,65.485817,52601500
2008-01-14,105.010002,106.720001,100.050003,103.400002,69.327690,78126300
2008-01-21,98.550003,107.790001,98.500000,104.519997,70.078629,57768700
2008-01-28,104.440002,109.400002,103.699997,109.080002,73.136024,39007500
2008-02-04,108.669998,109.000000,100.599998,103.269997,69.240532,40641500
2008-02-11,103.050003,108.930000,102.870003,106.160004,71.450363,33932900
2008-02-18,106.940002,109.599998,104.529999,108.070000,72.735886,31292600
2008-02-25,107.430000,116.629997,107.430000,113.860001,76.632805,54366700
2008-03-03,113.860001,116.410004,111.800003,113.940002,76.686615,39506500
2008-03-10,113.120003,118.000000,112.690002,115.230003,77.554855,48594600
2008-03-17,113.000000,118.500000,113.000000,118.330002,79.641296,39979100
2008-03-24,118.570000,119.790001,114.209999,114.570000,77.110641,41496800
2008-03-31,114.150002,118.370003,113.339996,115.760002,77.911575,42376300
2008-04-07,116.370003,119.220001,115.279999,116.000000,78.073128,38989700
2008-04-14,116.199997,125.000000,115.540001,124.400002,83.726707,67195200
2008-04-21,123.620003,124.900002,122.050003,123.080002,82.838242,32273700
2008-04-28,122.610001,124.430000,120.500000,123.180000,82.905563,36106300
2008-05-05,122.290001,125.169998,120.779999,124.059998,83.497833,38973400
2008-05-12,123.820000,128.830002,123.559998,127.820000,86.380135,40848500
2008-05-19,127.680000,128.210007,123.019997,124.199997,83.933754,31469600
2008-05-26,124.010002,129.990005,124.000000,129.429993,87.468185,33079200
2008-06-02,128.490005,129.369995,124.739998,124.940002,84.433876,35309300
2008-06-09,125.379997,126.720001,122.860001,126.150002,85.251579,31303600
2008-06-16,125.459999,127.139999,122.360001,122.739998,82.947105,35367900
2008-06-23,123.000000,125.830002,118.260002,120.050003,81.129211,41907700
2008-06-30,120.029999,120.779999,116.599998,119.540001,80.784554,32716800
2008-07-07,119.620003,124.500000,119.620003,122.120003,82.528107,47346100
2008-07-14,123.510002,130.000000,119.900002,129.889999,87.779022,59542700
2008-07-21,129.830002,130.929993,127.260002,128.529999,86.859940,45950300
2008-07-28,127.690002,129.500000,126.129997,126.639999,85.582703,28699300
2008-08-04,126.769997,129.970001,126.250000,128.809998,87.049194,34413900
2008-08-11,128.429993,128.429993,124.400002,126.360001,85.726089,32724200
2008-08-18,126.489998,127.000000,121.550003,124.930000,84.755936,34457400
2008-08-25,124.480003,125.449997,121.500000,121.730003,82.584969,30493600
2008-09-01,122.870003,124.000000,113.169998,114.330002,77.564613,42011600
2008-09-08,118.000000,119.949997,115.000000,118.970001,80.712509,46783800
2008-09-15,115.360001,124.000000,110.610001,118.849998,80.631088,66307100
2008-09-22,118.449997,121.989998,114.139999,119.419998,81.017799,34730600
2008-09-29,117.440002,118.430000,103.029999,103.440002,70.176544,62809100
2008-10-06,101.209999,103.000000,83.510002,87.750000,59.532017,86848900
2008-10-13,90.440002,99.000000,84.349998,90.779999,61.587658,75048600
2008-10-20,92.209999,93.309998,78.820000,82.070000,55.678528,58306900
2008-10-27,80.269997,94.190002,79.010002,92.970001,63.073387,60537100
2008-11-03,92.639999,94.760002,84.250000,86.269997,58.527927,47015300
2008-11-10,87.989998,88.099998,75.400002,80.330002,54.802734,58194400
2008-11-17,79.400002,81.000000,69.500000,74.879997,51.084644,73411500
2008-11-24,75.739998,82.400002,75.000000,81.599998,55.669159,39691800
2008-12-01,80.949997,81.500000,75.309998,80.589996,54.980129,51454000
2008-12-08,82.570000,85.879997,78.059998,82.199997,56.078491,49785100
2008-12-15,82.510002,87.269997,80.000000,83.519997,56.979008,50128100
2008-12-22,83.269997,83.449997,79.919998,81.330002,55.484932,18974200
2008-12-29,81.720001,87.589996,79.680000,87.370003,59.605556,26062900
2009-01-05,86.419998,90.410004,84.250000,84.699997,57.784035,41092400
2009-01-12,84.570000,86.599998,82.110001,84.919998,57.934128,48180000
2009-01-19,84.760002,91.599998,81.760002,89.489998,61.051857,61309500
2009-01-26,89.769997,94.940002,89.519997,91.650002,62.525463,50819300
2009-02-02,90.599998,97.099998,89.690002,96.139999,65.588615,53659500
2009-02-09,95.930000,96.980003,92.199997,93.839996,64.367813,49132900
2009-02-16,91.730003,92.489998,87.339996,88.790001,60.903851,42419500
2009-02-23,89.300003,93.279999,82.849998,92.029999,63.126278,77805700
2009-03-02,91.169998,91.900002,83.809998,85.809998,58.859764,74483600
2009-03-09,84.699997,90.650002,83.019997,90.360001,61.980762,61831600
2009-03-16,91.650002,95.000000,89.410004,92.510002,63.455505,63330900
2009-03-23,93.699997,99.860001,92.750000,94.150002,64.580444,60950700
2009-03-30,92.000000,102.660004,91.800003,102.220001,70.115891,64912500
2009-04-06,100.900002,102.449997,98.519997,101.699997,69.759232,32887100
2009-04-13,100.279999,102.040001,96.440002,101.269997,69.464279,41711800
2009-04-20,100.290001,103.860001,98.199997,100.080002,68.648026,59469300
2009-04-27,99.610001,106.050003,99.250000,104.610001,71.755280,46394300
2009-05-04,105.260002,106.820000,99.830002,101.489998,69.615189,42691700
2009-05-11,101.089996,104.379997,100.570000,101.370003,69.896072,42229200
2009-05-18,102.000000,106.120003,101.739998,101.889999,70.254585,34599500
2009-05-25,101.320000,106.500000,101.019997,106.279999,73.281548,27330100
2009-06-01,106.940002,108.800003,105.110001,107.239998,73.943512,35592300
2009-06-08,106.639999,110.639999,105.500000,108.209999,74.612335,38913000
2009-06-15,107.629997,109.139999,105.500000,105.889999,73.012650,42930700
2009-06-22,105.180000,106.790001,103.510002,105.680000,72.867859,30871700
2009-06-29,105.989998,106.269997,101.730003,101.730003,70.144302,24758400
2009-07-06,101.570000,102.779999,99.500000,100.830002,69.523712,34208000
2009-07-13,101.279999,115.529999,100.190002,115.419998,79.583717,58793700
2009-07-20,114.529999,118.150002,114.389999,117.639999,81.114433,42520000
2009-07-27,116.949997,119.370003,116.050003,117.930000,81.314377,28085700
2009-08-03,118.879997,119.959999,116.699997,119.330002,82.279724,27893800
2009-08-10,118.169998,119.959999,117.320000,118.570000,82.137016,25401100
2009-08-17,116.690002,120.010002,116.120003,119.900002,83.058350,27622200
2009-08-24,119.919998,120.879997,117.510002,118.220001,81.894562,26123700
2009-08-31,117.099998,118.930000,115.150002,117.459999,81.368088,25309900
2009-09-07,117.940002,119.250000,116.160004,118.050003,81.776787,21828700
2009-09-14,117.000000,122.879997,116.940002,122.110001,84.589264,40859700
2009-09-21,121.029999,122.739998,120.099998,121.080002,83.875786,26232600
2009-09-28,120.519997,122.000000,117.260002,119.019997,82.448753,37380100
2009-10-05,118.900002,126.000000,118.129997,125.930000,87.235519,37825500
2009-10-12,125.440002,128.610001,121.250000,121.639999,84.263702,55978800
2009-10-19,121.760002,124.110001,120.000000,120.360001,83.377014,36292000
